,NO (µg/m³N),NO2 (µg/m³N),SO2 (µg/m³N),O3 (µg/m³N),TMP (ºC),HR (% H.R.),NOX (µg/m³N),DD (grados),PRB (mb),RS (W/m³),VV (m/s),C6H6 (µg/m³N),C7H8 (µg/m³N),XIL (µg/m³N),PM10 (µg/m³N)
2020-07-03,3.0,5.0,4.0,43.0,26.0,88.0,9.0,60.0,1017.0,1.0,1.0,1.4,1.0,1.9,48.0
2020-07-04,3.0,4.0,2.0,37.0,25.0,94.0,8.0,100.0,1023.0,1.0,1.0,1.0,1.1,2.0,28.0
2020-07-05,3.0,4.0,2.0,42.0,24.0,87.0,8.0,83.0,1024.0,1.0,1.0,1.6,1.8,2.0,22.0
2020-07-06,3.0,4.0,8.0,54.0,25.0,77.0,8.0,63.0,1021.0,1.0,1.0,1.1,1.8,2.0,28.0
2020-07-07,3.0,8.0,10.0,49.0,26.0,50.0,12.0,177.0,1019.0,1.0,1.0,0.5,1.0,1.6,32.0
2020-07-08,3.0,5.0,5.0,51.0,26.0,69.0,9.0,143.0,1018.0,1.0,1.0,0.9,0.6,1.8,33.0
2020-07-09,3.0,4.0,4.0,36.0,25.0,90.0,8.0,242.0,1020.0,2.0,1.0,1.0,1.1,2.0,23.0
2020-07-10,3.0,4.0,4.0,51.0,25.0,77.0,8.0,8.0,1018.0,1.0,1.0,1.3,1.7,2.0,26.0
2020-07-11,3.0,4.0,11.0,41.0,25.0,89.0,8.0,72.0,1017.0,1.0,1.0,1.8,2.3,2.0,32.0
2020-07-12,3.0,4.0,7.0,53.0,26.0,84.0,8.0,49.0,1020.0,1.0,1.0,1.0,1.8,2.0,33.0
2020-07-13,3.0,4.0,5.0,46.0,26.0,79.0,8.0,351.0,1021.0,1.0,1.0,1.0,1.6,2.0,24.0
2020-07-14,2.0,4.0,5.0,47.0,25.0,86.0,8.0,354.0,1021.0,1.0,1.0,1.0,1.1,1.9,22.0
2020-07-15,3.0,4.0,2.0,36.0,24.0,100.0,8.0,277.0,1019.0,3.0,1.0,1.1,0.7,1.9,14.0
2020-07-16,3.0,4.0,3.0,54.0,24.0,86.0,8.0,279.0,1020.0,1.0,1.0,1.2,1.6,2.0,22.0
2020-07-17,3.0,4.0,4.0,53.0,24.0,86.0,8.0,40.0,1021.0,1.0,1.0,1.0,1.3,2.0,23.0
2020-07-18,2.0,4.0,5.0,52.0,25.0,85.0,8.0,80.0,1019.0,1.0,1.0,1.4,2.4,2.0,16.0
2020-07-19,3.0,4.0,2.0,45.0,25.0,80.0,8.0,77.0,1019.0,1.0,1.0,1.4,0.9,2.0,20.0
2020-07-20,3.0,4.0,2.0,48.0,25.0,79.0,8.0,82.0,1019.0,1.0,1.0,0.9,0.8,1.8,20.0
2020-07-21,3.0,4.0,2.0,49.0,25.0,90.0,8.0,58.0,1020.0,1.0,1.0,2.9,1.1,2.0,15.0
2020-07-22,3.0,4.0,3.0,52.0,26.0,88.0,8.0,59.0,1021.0,2.0,1.0,1.0,1.6,2.0,22.0
2020-07-23,2.0,4.0,2.0,63.0,26.0,78.0,8.0,94.0,1020.0,1.0,1.0,1.0,1.1,2.0,20.0
2020-07-24,3.0,4.0,2.0,58.0,27.0,80.0,8.0,169.0,1018.0,1.0,1.0,1.7,0.9,2.1,29.0
2020-07-25,3.0,4.0,4.0,51.0,26.0,84.0,8.0,179.0,1018.0,1.0,1.0,1.3,0.8,2.0,38.0
2020-07-26,3.0,4.0,2.0,38.0,26.0,91.0,8.0,67.0,1017.0,1.0,1.0,1.0,2.0,2.0,15.0
2020-07-27,3.0,4.0,6.0,49.0,26.0,85.0,8.0,353.0,1020.0,1.0,1.0,1.8,1.6,1.9,23.0
2020-07-28,3.0,5.0,2.0,54.0,27.0,80.0,8.0,197.0,1019.0,1.0,1.0,0.3,0.6,2.0,23.2
2020-07-29,2.0,4.0,2.0,54.0,27.0,91.0,8.0,94.0,1018.0,2.0,1.0,1.0,1.1,2.0,25.9
2020-07-30,2.0,4.0,2.0,55.0,27.0,80.0,8.0,103.0,1018.0,1.0,1.0,1.0,1.1,2.1,28.9
2020-07-31,3.0,6.0,2.0,53.0,28.0,77.0,10.0,135.0,1019.0,1.0,1.0,2.3,0.5,1.9,28.18
2020-08-01,3.0,7.0,2.0,47.0,28.0,80.0,10.0,112.0,1019.0,1.0,1.0,0.1,0.7,1.6,30.1
2020-08-02,3.0,9.0,4.0,23.0,30.0,67.0,13.0,166.0,1017.0,1.0,1.0,0.3,1.2,1.3,24.796
2020-08-03,3.0,6.0,2.0,46.0,27.0,95.0,10.0,73.0,1017.0,2.0,1.0,1.5,2.0,2.0,32.269
2020-08-04,2.4,6.2,2.0,41.0,27.0,86.0,9.7,88.0,1017.0,1.0,1.0,1.0,2.1,2.0,24.3
2020-08-05,3.0,4.0,2.0,52.0,26.0,84.0,8.0,88.0,1018.0,1.0,1.0,1.4,0.6,1.8,22.0
2020-08-06,3.0,4.0,2.0,56.0,26.0,83.0,8.0,44.0,1018.0,1.0,1.0,1.0,0.9,2.0,19.0
2020-08-07,3.1834525240384615,10.314903846153847,5.950712184804521,56.38391431884849,19.952224782839924,72.25722389647225,15.178109975961538,210.07129350587957,1017.1749689771317,177.01161141641552,1.266437202706296,0.507385030919042,0.8365484398322555,1.0841850877816475,26.226888083122578
2020-08-08,3.3,9.7,17.0,58.0,26.0,79.0,14.8,295.0,1023.0,1.0,1.0,1.6,0.5,2.0,25.0
2020-08-09,3.1834525240384615,10.314903846153847,5.950712184804521,56.38391431884849,19.952224782839924,72.25722389647225,15.178109975961538,210.07129350587957,1017.1749689771317,177.01161141641552,1.266437202706296,0.507385030919042,0.8365484398322555,1.0841850877816475,26.226888083122578
2020-08-10,3.1834525240384615,10.314903846153847,5.950712184804521,56.38391431884849,19.952224782839924,72.25722389647225,15.178109975961538,210.07129350587957,1017.1749689771317,177.01161141641552,1.266437202706296,0.507385030919042,0.8365484398322555,1.0841850877816475,26.226888083122578
2020-08-11,3.3,11.3,19.0,60.0,27.0,84.0,15.8,262.0,1017.0,1.0,1.0,1.0,1.9,2.0,23.0
2020-08-12,3.69,9.049999999999999,2.0,67.0,27.0,94.0,14.680000000000001,240.0,1016.0,4.0,1.0,1.4,2.7,2.0,36.0
2020-08-13,3.0,9.8,13.0,69.0,27.0,81.0,14.3,103.0,1018.0,1.0,1.0,0.7,0.4,2.0,39.0
2020-08-14,2.6,8.9,11.0,82.0,27.0,68.0,12.7,124.0,1018.0,1.0,1.0,1.6,0.9,1.8,23.0
2020-08-15,2.1,5.5,2.0,60.0,26.0,82.0,9.2,291.0,1018.0,1.0,1.0,1.7,0.6,1.9,20.0
2020-08-16,2.9,6.1,12.0,78.0,26.0,68.0,10.4,87.0,1014.0,1.0,1.0,1.5,0.7,1.7,37.0
2020-08-17,3.1,10.4,11.0,77.0,26.0,73.0,15.2,182.0,1016.0,1.0,1.0,1.3,0.9,2.1,28.0
2020-08-18,2.0,18.0,8.0,46.0,26.0,41.0,13.0,291.0,1017.0,1.0,1.0,0.3,0.8,1.7,39.0
2020-08-19,1.0,16.0,5.0,52.0,26.0,72.0,9.0,89.0,1017.0,1.0,1.0,1.9,0.4,2.1,30.0
2020-08-20,1.0,13.0,3.0,46.0,27.0,79.0,6.0,240.0,1013.0,1.0,1.0,1.1,0.6,1.8,21.0
2020-08-21,1.0,11.0,2.0,28.0,27.0,92.0,5.0,61.0,1014.0,1.0,1.0,1.3,0.9,2.1,1.0
2020-08-22,3.0,19.0,8.0,46.0,27.0,32.0,24.0,244.0,1019.0,1.0,1.0,0.1,1.5,1.7,33.0
2020-08-23,3.0,10.0,2.0,39.0,27.0,91.0,14.0,39.0,1022.0,1.0,1.0,2.9,1.1,2.0,16.0
2020-08-24,3.1834525240384615,10.314903846153847,5.950712184804521,56.38391431884849,19.952224782839924,72.25722389647225,15.178109975961538,210.07129350587957,1017.1749689771317,177.01161141641552,1.266437202706296,0.507385030919042,0.8365484398322555,1.0841850877816475,26.226888083122578
2020-08-25,3.0,8.0,2.0,43.0,26.0,83.0,12.0,33.0,1019.0,1.0,1.0,1.0,2.2,2.0,21.0
2020-08-26,3.0,7.0,2.0,32.0,27.0,95.0,11.0,40.0,1021.0,2.0,1.0,1.3,1.1,2.0,5.0
2020-08-27,3.0,7.0,2.0,31.0,27.0,91.0,12.0,315.0,1022.0,1.0,1.0,1.2,0.7,1.5,21.0
2020-08-28,3.0,10.0,3.7,34.0,27.0,72.0,15.0,149.0,1017.0,1.0,1.0,1.4,1.2,1.5,30.0
2020-08-29,3.0,10.0,2.6,63.0,26.0,85.0,15.0,171.0,1006.0,1.0,1.0,1.2,0.5,2.1,40.0
2020-08-30,3.0,8.0,5.4,54.0,23.0,83.0,13.0,315.0,1011.0,1.0,1.0,0.7,0.9,2.0,20.0
2020-08-31,3.0,8.0,7.140000000000001,47.0,22.0,75.0,13.0,337.0,1019.0,1.0,1.0,1.0,2.0,2.0,13.0
2020-09-01,3.0,9.0,6.7,63.0,24.0,73.0,13.0,84.0,1020.0,1.0,1.0,1.0,0.5,2.2,15.0
2020-09-02,4.0,12.0,5.37,34.0,23.0,70.0,18.0,290.0,1016.0,1.0,1.0,0.3,1.0,1.6,18.0
2020-09-03,3.0,13.0,4.5,37.0,24.0,71.0,19.0,325.0,1022.0,1.0,1.0,0.7,1.1,1.9,20.0
2020-09-04,3.0,11.0,7.2,39.0,24.0,76.0,15.0,313.0,1027.0,2.0,1.0,1.3,0.5,2.0,23.0
2020-09-05,3.0,8.0,10.1,53.0,24.0,77.0,12.0,335.0,1025.0,1.0,1.0,1.3,0.7,2.1,17.0
2020-09-06,3.0,9.0,4.6,47.0,24.0,78.0,14.0,317.0,1021.0,1.0,1.0,0.7,0.6,2.1,21.0
2020-09-07,3.1834525240384615,10.314903846153847,5.950712184804521,56.38391431884849,19.952224782839924,72.25722389647225,15.178109975961538,210.07129350587957,1017.1749689771317,177.01161141641552,1.266437202706296,0.507385030919042,0.8365484398322555,1.0841850877816475,26.226888083122578
2020-09-08,3.0,7.0,4.9,86.0,24.0,75.0,11.0,71.0,1023.0,2.0,1.0,1.0,1.1,2.0,17.0
2020-09-09,3.0,10.0,3.9200000000000004,57.0,22.0,72.0,14.0,304.0,1025.0,1.0,1.0,1.5,0.8,1.9,26.0
2020-09-10,3.0,9.0,4.5,90.0,24.0,76.0,13.0,277.0,1023.0,1.0,1.0,1.0,1.1,2.0,17.0
2020-09-11,3.0,7.0,3.2,67.0,23.0,81.0,11.0,266.0,1020.0,1.0,1.0,0.48999999999999994,0.93,1.23,15.0
2020-09-12,3.0,8.0,6.08,60.0,24.0,68.0,12.0,258.0,1018.0,1.0,1.0,1.8,1.0,1.7,11.0
2020-09-13,3.0,10.0,5.4,46.0,24.0,82.0,14.0,321.0,1024.0,1.0,1.0,1.5,0.6,2.3,19.0
2020-09-14,3.0,10.0,3.7,61.0,24.0,85.0,14.0,316.0,1026.0,1.0,1.0,3.1,0.8,2.1,15.0
2020-09-15,3.0,6.0,3.8,48.0,25.0,88.0,10.0,329.0,1026.0,2.0,1.0,1.2,2.9,2.0,26.0
2020-09-16,3.0,8.0,3.79,48.0,25.0,93.0,12.0,296.0,1024.0,1.0,1.0,1.2,0.9,2.0,25.0
2020-09-17,3.0,9.0,3.6,40.0,25.0,92.0,13.0,6.0,1021.0,2.0,1.0,0.4,0.6,2.1,25.0
2020-09-18,3.0,8.0,2.79,36.0,25.0,94.0,13.0,313.0,1018.0,1.0,1.0,1.7,0.6,2.3,27.0
2020-09-19,4.0,20.0,6.6,11.0,23.0,93.0,27.0,309.0,1019.0,1.0,1.0,0.5,1.1,1.7,18.0
2020-09-20,4.0,18.0,9.6,15.0,23.0,82.0,24.0,294.0,1020.0,1.0,1.0,0.4,0.8,2.0,36.0
2020-09-21,3.0,14.0,6.9,33.0,23.0,81.0,19.0,255.0,1020.0,2.0,1.0,1.0,0.6,2.0,20.0
2020-09-22,3.0,10.0,5.14,85.0,24.0,72.0,15.0,302.0,1019.0,1.0,1.0,1.5,0.6,2.3,16.0
2020-09-23,3.0,10.0,4.14,76.0,23.0,77.0,14.0,193.0,1017.0,1.0,1.0,0.8,0.8,2.1,20.0
2020-09-24,3.0,14.0,4.5,41.0,24.0,65.0,19.0,265.0,1016.0,1.0,1.0,0.2,1.1,1.4,27.0
2020-09-25,3.0,11.0,9.0,61.0,30.0,35.0,16.0,285.0,1018.0,6.0,2.0,1.0,2.8,2.0,62.0
2020-09-26,3.0,13.0,10.0,100.0,23.0,25.0,18.0,338.0,1023.0,1.0,2.0,1.8,3.1,2.1,17.0
2020-09-27,3.0,9.0,11.0,89.0,21.0,63.0,14.0,99.0,1015.0,1.0,1.0,1.4,3.3,2.0,17.0
2020-09-28,3.0,14.0,10.0,39.0,20.0,73.0,18.0,248.0,1016.0,1.0,1.0,0.2,1.0,1.8,27.0
2020-09-29,3.0,12.0,10.0,48.0,20.0,83.0,16.0,300.0,1019.0,1.0,1.0,0.2,0.9,2.0,20.0
2020-09-30,3.0,9.0,10.0,40.0,20.0,84.0,14.0,313.0,1019.0,1.0,1.0,0.9,0.6,1.9,18.0
2020-10-01,3.0,8.0,10.0,65.0,22.0,80.0,12.0,173.0,1015.0,2.0,1.0,0.4,1.0,1.7,25.0
2020-10-02,3.0,13.0,10.0,62.0,22.0,78.0,18.0,165.0,1008.0,1.0,1.0,0.2,1.3,1.6,27.0
2020-10-03,3.0,10.0,9.0,93.0,20.0,47.0,14.0,256.0,1004.0,3.0,1.0,1.5,2.6,2.0,3.0
2020-10-04,4.0,12.0,11.0,53.0,16.0,61.0,16.0,295.0,1012.0,1.0,1.0,0.2,0.9,2.0,13.0
2020-10-05,3.0,15.0,9.0,47.0,20.0,57.0,19.0,267.0,1013.0,2.0,1.0,0.2,0.9,1.9,18.0
2020-10-06,3.0,8.0,9.0,90.0,19.0,68.0,12.0,297.0,1021.0,1.0,1.0,1.2,0.7,2.0,16.0
2020-10-07,3.0,11.0,9.0,74.0,20.0,55.0,16.0,149.0,1022.0,2.0,1.0,0.8,0.6,1.8,22.0
2020-10-08,3.0,15.0,11.0,58.0,21.0,61.0,20.0,289.0,1024.0,1.0,1.0,0.2,1.6,1.7,44.0
2020-10-09,3.0,10.0,10.0,38.0,21.0,100.0,14.0,329.0,1024.0,2.0,1.0,0.5,0.5,2.1,26.0
2020-10-10,3.0,12.0,12.0,24.0,20.0,91.0,16.0,280.0,1023.0,2.0,1.0,0.1,1.6,1.7,24.0
2020-10-11,3.0,12.0,12.0,26.0,20.0,93.0,17.0,262.0,1021.0,2.0,1.0,0.2,0.9,1.4,21.0
2020-10-12,3.0,11.0,10.0,41.0,17.0,80.0,16.0,300.0,1023.0,1.0,1.0,0.4,1.1,1.8,25.0
2020-10-13,3.0,13.0,10.0,62.0,16.0,73.0,18.0,302.0,1021.0,2.0,1.0,0.8,0.6,2.0,14.0
2020-10-14,3.0,9.0,8.0,93.0,21.0,46.0,14.0,290.0,1013.0,1.0,1.0,2.3,1.2,2.0,11.0
2020-10-15,3.0,10.0,10.0,43.0,17.0,87.0,14.0,298.0,1015.0,1.0,1.0,0.5,0.6,1.9,17.0
2020-10-16,3.0,8.0,9.0,85.0,18.0,77.0,13.0,252.0,1017.0,2.0,1.0,0.9,0.6,1.9,16.0
2020-10-17,3.0,13.0,9.0,52.0,16.0,76.0,18.0,301.0,1018.0,1.0,1.0,0.2,1.1,1.7,23.0
2020-10-18,3.0,9.0,8.0,101.0,17.0,76.0,14.0,264.0,1018.0,1.0,1.0,0.5,0.7,2.0,18.0
2020-10-19,3.0,9.0,10.0,74.0,16.0,90.0,14.0,298.0,1021.0,2.0,1.0,0.2,0.6,1.9,22.0
2020-10-20,3.0,14.0,9.0,43.0,17.0,93.0,19.0,309.0,1018.0,2.0,1.0,0.8,8.5,1.9,19.0
2020-10-21,3.0,11.0,10.0,62.0,19.0,100.0,15.0,300.0,1009.0,1.0,1.0,0.3,1.0,1.8,34.0
2020-10-22,3.0,9.0,10.0,53.0,22.0,60.0,14.0,169.0,1013.0,2.0,1.0,0.7,0.7,1.9,31.0
2020-10-23,3.0,11.0,10.0,59.0,20.0,88.0,15.0,139.0,1017.0,3.0,1.0,1.2,1.5,2.0,20.0
2020-10-24,3.0,19.0,10.0,23.0,17.0,80.0,24.0,278.0,1024.0,2.0,1.0,0.1,1.0,1.4,16.0
2020-10-25,3.0,15.0,11.0,54.0,17.0,79.0,20.0,266.0,1022.0,2.0,1.0,0.3,1.2,1.8,10.0
2020-10-26,3.0,10.0,10.0,61.0,17.0,75.0,15.0,139.0,1013.0,3.0,1.0,0.4,1.1,2.0,9.0
2020-10-27,3.0,9.0,10.0,74.0,15.0,49.0,14.0,292.0,1020.0,1.0,1.0,1.7,1.1,2.0,7.0
2020-10-28,3.0,8.0,12.0,81.0,16.0,70.0,13.0,294.0,1019.0,1.0,1.0,1.2,1.0,2.0,11.0
2020-10-29,4.0,23.0,13.0,39.0,16.0,63.0,29.0,242.0,1023.0,3.0,1.0,0.2,2.3,1.8,28.0
2020-10-30,3.0,15.0,10.0,37.0,16.0,92.0,19.0,321.0,1026.0,1.0,1.0,0.2,1.1,1.8,21.0
2020-10-31,3.0,14.0,11.0,26.0,15.0,94.0,18.0,318.0,1025.0,2.0,1.0,0.2,1.7,1.7,28.0
2020-11-01,4.0,14.0,13.0,36.0,16.0,82.0,19.0,206.0,1024.0,2.0,1.0,0.2,1.3,1.7,18.0
2020-11-02,3.0,12.0,13.0,23.0,15.0,96.0,17.0,121.0,1023.0,2.0,1.0,0.2,0.9,1.6,25.0
2020-11-03,3.0,16.0,12.0,26.0,15.0,97.0,21.0,240.0,1022.0,2.0,1.0,0.4,2.0,2.6,29.0
2020-11-04,3.0,10.0,13.0,58.0,18.0,97.0,14.0,324.0,1023.0,3.0,1.0,0.2,0.5,1.4,16.0
2020-11-05,3.0,9.0,10.0,58.0,19.0,87.0,13.0,38.0,1017.0,3.0,1.0,0.1,0.4,2.0,24.0
2020-11-06,3.0,7.0,10.0,39.0,19.0,100.0,12.0,307.0,1017.0,3.0,1.0,0.3,0.4,2.0,32.0
2020-11-07,3.0,11.0,10.0,37.0,21.0,87.0,17.0,244.0,1013.0,2.0,1.0,0.2,0.7,2.0,169.0
2020-11-08,3.0,13.0,10.0,26.0,16.0,90.0,18.0,243.0,1023.0,1.0,1.0,0.2,0.6,2.0,17.0
2020-11-09,3.0,12.0,10.0,26.0,16.0,100.0,17.0,300.0,1022.0,2.0,1.0,0.1,0.7,2.0,14.0
2020-11-10,3.0,9.0,12.0,48.0,16.0,94.0,13.0,236.0,1023.0,2.0,1.0,0.1,0.8,2.0,14.0
2020-11-11,3.0,13.0,9.0,32.0,16.0,100.0,18.0,308.0,1027.0,1.0,1.0,0.2,0.4,2.0,14.0
2020-11-12,3.0,12.0,12.0,44.0,15.0,100.0,17.0,307.0,1024.0,4.0,1.0,0.1,0.5,1.9,19.0
2020-11-13,3.0,8.0,10.0,55.0,18.0,100.0,13.0,327.0,1021.0,3.0,1.0,0.9,1.1,2.0,13.0
2020-11-14,3.0,22.0,10.0,17.0,18.0,91.0,26.0,319.0,1022.0,3.0,1.0,0.4,0.8,1.8,28.0
2020-11-15,4.0,18.0,12.0,11.0,18.0,100.0,25.0,269.0,1022.0,3.0,1.0,0.6,0.7,1.5,19.0
2020-11-16,3.0,12.0,11.0,27.0,17.0,100.0,17.0,252.0,1022.0,1.0,1.0,0.8,0.7,2.0,8.0
2020-11-17,3.0,10.0,9.0,37.0,19.0,89.0,14.0,321.0,1026.0,3.0,1.0,1.0,1.1,1.9,19.0
2020-11-18,3.0,18.0,13.0,8.0,16.0,100.0,22.0,298.0,1028.0,3.0,1.0,1.0,0.8,2.0,25.0
2020-11-19,3.0,12.0,10.0,25.0,15.0,100.0,17.0,313.0,1028.0,2.0,1.0,1.0,0.8,2.0,13.0
2020-11-20,3.0,17.0,11.0,31.0,15.0,99.0,21.0,303.0,1031.0,3.0,1.0,1.0,0.6,1.6,32.0
2020-11-21,3.0,10.0,10.0,41.0,16.0,87.0,14.0,336.0,1027.0,2.0,1.0,1.0,1.1,2.0,11.0
2020-11-22,3.0,10.0,12.0,48.0,12.0,89.0,15.0,304.0,1030.0,3.0,1.0,1.0,1.1,2.0,22.0
2020-11-23,3.0,9.0,14.0,40.0,10.0,89.0,14.0,318.0,1028.0,2.0,1.0,1.0,1.1,2.0,18.0
2020-11-24,3.0,17.0,10.0,28.0,10.0,94.0,22.0,322.0,1027.0,2.0,1.0,1.0,1.1,2.0,24.0
2020-11-25,3.0,12.0,9.0,29.0,11.0,98.0,16.0,214.0,1021.0,3.0,1.0,1.0,1.1,2.0,12.0
2020-11-26,3.0,12.0,11.0,39.0,14.0,99.0,17.0,311.0,1014.0,2.0,1.0,1.0,0.5,2.0,20.0
2020-11-27,3.0,7.0,11.0,48.0,17.0,92.0,11.0,56.0,1009.0,4.0,1.0,1.0,0.9,2.0,175.0
2020-11-28,3.0,10.0,12.0,34.0,12.0,100.0,15.0,287.0,1004.0,3.0,1.0,1.0,1.1,2.0,9.0
2020-11-29,3.0,10.0,11.0,45.0,13.0,72.0,15.0,273.0,1011.0,2.0,1.0,1.0,1.1,2.0,8.0
2020-11-30,3.0,11.0,13.0,37.0,13.0,92.0,16.0,314.0,1019.0,3.0,1.0,1.0,1.1,2.0,16.0
2020-12-01,3.0,10.0,9.0,40.0,14.0,100.0,15.0,319.0,1022.0,3.0,1.0,1.0,1.1,2.0,9.0
2020-12-02,3.0,9.0,9.0,55.0,15.0,92.0,14.0,286.0,1016.0,1.0,1.0,1.0,1.1,2.0,11.0
2020-12-03,3.0,12.0,13.0,68.0,11.0,53.0,16.0,322.0,1016.0,1.0,1.0,1.0,1.1,2.0,4.0
2020-12-04,3.0,7.0,9.0,52.0,12.0,88.0,13.0,290.0,1005.0,3.0,1.0,1.0,1.1,2.0,13.0
2020-12-05,4.0,11.0,9.0,55.0,11.0,68.0,16.0,291.0,996.0,3.0,1.0,1.0,1.1,2.0,7.0
2020-12-06,3.0,8.0,9.0,75.0,10.0,51.0,12.0,258.0,1008.0,2.0,1.0,1.0,1.1,2.0,7.0
2020-12-07,3.0,6.0,9.0,74.0,11.0,52.0,11.0,288.0,1012.0,2.0,2.0,1.0,1.1,2.0,7.0
2020-12-08,3.0,7.0,9.0,85.0,17.0,47.0,11.0,257.0,1006.0,2.0,1.0,1.0,1.1,2.0,5.0
2020-12-09,3.0,7.0,10.0,76.0,12.0,48.0,12.0,142.0,1013.0,2.0,1.0,1.0,1.1,2.0,7.0
2020-12-10,3.0,6.0,9.0,64.0,11.0,46.0,11.0,122.0,1017.0,2.0,1.0,1.0,1.1,2.0,8.0
2020-12-11,4.0,19.0,11.0,15.0,15.0,74.0,26.0,270.0,1010.0,3.0,1.0,1.0,0.8,2.0,14.0
2020-12-12,3.0,7.0,9.0,53.0,22.0,54.0,11.0,282.0,1006.0,1.0,1.0,1.0,1.1,2.0,4.0
2020-12-13,4.0,12.0,10.0,40.0,16.0,61.0,18.0,286.0,1014.0,2.0,1.0,1.0,1.1,2.0,11.0
2020-12-14,4.0,17.0,10.0,20.0,12.0,83.0,23.0,295.0,1013.0,2.0,1.0,1.0,1.1,2.0,17.0
2020-12-15,5.0,18.0,13.0,12.0,12.0,99.0,26.0,285.0,1012.0,3.0,1.0,1.0,1.5,1.7,14.0
2020-12-16,5.0,29.0,13.0,14.0,12.0,85.0,37.0,279.0,1016.0,3.0,1.0,1.0,1.5,2.0,20.0
2020-12-17,5.0,43.0,13.0,26.0,13.0,100.0,51.0,304.0,1016.0,4.0,1.0,0.4,0.96,1.2600000000000002,39.0
2020-12-18,3.0,24.0,14.0,14.0,11.0,98.0,29.0,299.0,1022.0,3.0,1.0,0.41,0.7899999999999999,0.8499999999999999,29.0
2020-12-19,5.0,27.0,13.0,11.0,11.0,99.0,34.0,245.0,1020.0,3.0,1.0,0.45,0.7699999999999999,0.93,31.0
2020-12-20,3.0,16.0,11.0,20.0,13.0,97.0,20.0,323.0,1019.0,3.0,1.0,0.36,0.55,0.73,17.0
2020-12-21,2.0,9.0,10.0,39.0,13.0,76.0,12.0,309.0,1025.0,2.0,1.0,0.34,0.9700000000000001,1.24,8.0
2020-12-22,3.0,13.0,9.0,42.0,13.0,86.0,17.0,266.0,1026.0,3.0,1.0,0.42000000000000004,0.8700000000000001,1.0100000000000002,19.0
2020-12-23,3.0,20.0,10.0,16.0,11.0,100.0,25.0,320.0,1024.0,3.0,1.0,0.35,0.7,0.55,20.0
2020-12-24,2.0,16.0,9.0,26.0,12.0,99.0,19.0,260.0,1021.0,2.0,1.0,0.45,1.0100000000000002,0.85,14.0
2020-12-25,2.0,13.0,13.0,30.0,12.0,98.0,17.0,291.0,1019.0,3.0,1.0,0.6199999999999999,0.6900000000000002,1.2799999999999998,19.0
2020-12-26,2.0,11.0,11.0,69.0,8.0,33.0,15.0,324.0,1025.0,2.0,2.0,0.8,0.72,1.23,10.0
2020-12-27,2.0,8.0,11.0,70.0,7.0,56.0,11.0,287.0,1022.0,2.0,1.0,0.72,0.74,1.4499999999999997,13.0
2020-12-28,2.0,7.0,9.0,72.0,13.0,75.0,10.0,186.0,1003.0,2.0,2.0,0.49000000000000005,0.49000000000000005,1.2399999999999998,17.0
2020-12-29,2.0,6.0,9.0,73.0,12.0,52.0,10.0,286.0,1004.0,2.0,1.0,0.9199999999999999,1.03,1.8199999999999998,3.0
2020-12-30,2.0,7.0,10.0,65.0,11.0,58.0,11.0,307.0,1008.0,3.0,1.0,0.25,1.1199999999999999,1.52,9.0
2020-12-31,2.0,13.0,9.0,58.0,8.0,53.0,16.0,254.0,1016.0,3.0,1.0,0.37,0.74,0.9400000000000001,11.0
2021-01-01,4.0,10.0,10.0,69.0,10.0,50.0,16.0,243.0,1009.0,2.0,1.0,0.8300000000000001,1.04,1.75,8.0
2021-01-02,2.0,7.0,8.0,64.0,8.0,57.0,10.0,274.0,1008.0,2.0,1.0,0.85,1.02,1.49,8.0
2021-01-03,2.0,7.0,9.0,73.0,9.0,42.0,10.0,282.0,1010.0,2.0,1.0,0.37,0.9000000000000001,1.13,11.0
2021-01-04,2.0,8.0,9.0,54.0,7.0,43.0,11.0,248.0,1012.0,2.0,1.0,0.32999999999999996,0.8,0.73,15.0
2021-01-05,3.0,18.0,10.0,32.0,6.0,68.0,22.0,308.0,1009.0,3.0,1.0,0.39999999999999997,0.8500000000000002,0.6300000000000001,22.0
2021-01-06,2.0,22.0,13.0,31.0,8.0,55.0,26.0,309.0,1008.0,4.0,1.0,0.48,1.0,1.05,21.0
2021-01-07,2.0,5.0,9.0,66.0,11.0,70.0,9.0,42.0,1008.0,5.0,1.0,0.25,0.41,0.5700000000000001,3.0
2021-01-08,2.0,7.0,9.0,43.0,7.0,98.0,10.0,338.0,1007.0,5.0,2.0,0.24000000000000005,0.4499999999999999,1.0399999999999998,4.0
2021-01-09,2.0,7.0,10.0,48.0,9.0,100.0,10.0,26.0,1001.0,5.0,1.0,0.36,0.48999999999999994,0.33,3.0
2021-01-10,3.1834525240384615,10.314903846153847,5.950712184804521,56.38391431884849,19.952224782839924,72.25722389647225,15.178109975961538,210.07129350587957,1017.1749689771317,177.01161141641552,1.266437202706296,0.507385030919042,0.8365484398322555,1.0841850877816475,26.226888083122578
2021-01-11,3.1834525240384615,10.314903846153847,5.950712184804521,56.38391431884849,19.952224782839924,72.25722389647225,15.178109975961538,210.07129350587957,1017.1749689771317,177.01161141641552,1.266437202706296,0.507385030919042,0.8365484398322555,1.0841850877816475,26.226888083122578
2021-01-12,2.0,8.0,9.0,47.0,7.0,88.0,12.0,306.0,1021.0,3.0,1.0,0.33999999999999997,0.5399999999999999,0.9,5.0
