NO (µg/m³N),NO2 (µg/m³N),SO2 (µg/m³N),O3 (µg/m³N),TMP (ºC),HR (% H.R.),NOX (µg/m³N),DD (grados),PRB (mb),RS (W/m³),VV (m/s),C6H6 (µg/m³N),C7H8 (µg/m³N),XIL (µg/m³N),PM10 (µg/m³N),Ruido (dBA)
5.0,28.0,,62.0,17.0,64.0,36.0,12.0,1020.0,505.0,1.0,,,,54.0,
4.0,16.0,,76.0,19.0,61.0,21.0,65.0,1020.0,685.0,1.0,,,,20.0,
5.0,19.0,,81.0,20.0,55.0,26.0,77.0,1020.0,800.0,1.0,,,,25.0,
4.0,14.0,,84.0,20.0,54.0,19.0,82.0,1020.0,896.0,1.0,,,,23.0,
4.0,13.0,,85.0,21.0,52.0,20.0,92.0,1019.0,910.0,1.0,,,,25.0,
5.0,11.0,,85.0,21.0,50.0,18.0,90.0,1019.0,857.0,1.0,,,,18.0,
4.0,13.0,,84.0,21.0,51.0,19.0,102.0,1019.0,724.0,1.0,,,,25.0,
5.0,11.0,,85.0,21.0,48.0,18.0,100.0,1019.0,224.0,1.0,,,,18.0,
4.0,12.0,,81.0,20.0,50.0,19.0,97.0,1019.0,82.0,1.0,,,,22.0,
4.0,12.0,,77.0,19.0,57.0,18.0,87.0,1019.0,41.0,1.0,,,,40.0,
4.0,15.0,,63.0,17.0,74.0,21.0,72.0,1020.0,10.0,1.0,,,,38.0,
4.0,24.0,,52.0,16.0,84.0,30.0,62.0,1020.0,1.0,1.0,,,,28.0,
7.0,53.0,,32.0,15.0,86.0,63.0,328.0,1021.0,1.0,1.0,,,,27.0,
5.0,55.0,,25.0,14.0,88.0,63.0,330.0,1021.0,1.0,1.0,,,,29.0,
5.0,44.0,,28.0,14.0,90.0,51.0,310.0,1021.0,2.0,1.0,,,,26.0,
4.0,24.0,,34.0,13.0,92.0,31.0,297.0,1021.0,2.0,1.0,,,,23.0,
4.0,19.0,,40.0,13.0,94.0,25.0,304.0,1021.0,2.0,1.0,,,,19.0,
5.0,19.0,,41.0,14.0,94.0,26.0,310.0,1021.0,3.0,1.0,,,,22.0,
4.0,17.0,,34.0,13.0,91.0,22.0,330.0,1020.0,3.0,1.0,,,,18.0,
5.0,15.0,,37.0,13.0,91.0,22.0,309.0,1020.0,3.0,1.0,,,,20.0,
5.0,17.0,,39.0,13.0,89.0,24.0,331.0,1020.0,4.0,1.0,,,,20.0,
5.0,19.0,,35.0,14.0,89.0,27.0,330.0,1020.0,5.0,1.0,,,,23.0,
4.0,21.0,,39.0,14.0,90.0,27.0,334.0,1021.0,70.0,1.0,,,,25.0,
5.0,18.0,,46.0,16.0,84.0,25.0,324.0,1022.0,220.0,1.0,,,,27.0,
4.0,12.0,,60.0,17.0,79.0,18.0,44.0,1022.0,226.0,1.0,,,,27.0,
5.0,12.0,,62.0,19.0,73.0,18.0,55.0,1022.0,439.0,1.0,,,,17.0,
3.0,11.0,,69.0,19.0,66.0,16.0,75.0,1022.0,407.0,1.0,,,,12.0,
4.0,11.0,,72.0,20.0,63.0,17.0,79.0,1022.0,732.0,2.0,,,,14.0,
4.0,11.0,,75.0,20.0,59.0,17.0,83.0,1022.0,863.0,1.0,,,,17.0,
4.0,9.0,,74.0,20.0,59.0,15.0,93.0,1022.0,698.0,2.0,,,,22.0,
4.0,9.0,,73.0,20.0,61.0,15.0,87.0,1022.0,706.0,2.0,,,,15.0,
5.0,8.0,,72.0,20.0,60.0,16.0,86.0,1021.0,257.0,2.0,,,,15.0,
5.0,8.0,,73.0,19.0,63.0,16.0,89.0,1021.0,82.0,2.0,,,,15.0,
5.0,9.0,,69.0,18.0,70.0,17.0,94.0,1021.0,43.0,2.0,,,,27.0,
3.0,12.0,,63.0,17.0,78.0,16.0,85.0,1022.0,11.0,1.0,,,,25.0,
4.0,18.0,,51.0,16.0,85.0,24.0,25.0,1022.0,1.0,1.0,,,,19.0,
4.0,37.0,,34.0,15.0,88.0,44.0,334.0,1023.0,2.0,1.0,,,,19.0,
5.0,39.0,,31.0,14.0,90.0,46.0,316.0,1023.0,1.0,1.0,,,,20.0,
5.0,26.0,,35.0,14.0,92.0,34.0,296.0,1023.0,2.0,1.0,,,,16.0,
5.0,20.0,,40.0,13.0,94.0,27.0,303.0,1023.0,2.0,1.0,,,,18.0,
5.0,15.0,,40.0,13.0,95.0,23.0,318.0,1023.0,2.0,1.0,,,,12.0,
4.0,17.0,,40.0,13.0,93.0,23.0,326.0,1023.0,3.0,1.0,,,,5.0,
4.0,11.0,,42.0,13.0,91.0,17.0,313.0,1022.0,3.0,1.0,,,,16.0,
3.0,18.0,,44.0,13.0,93.0,23.0,319.0,1022.0,4.0,1.0,,,,20.0,
4.0,23.0,,44.0,13.0,91.0,28.0,315.0,1022.0,2.0,1.0,,,,15.0,
5.0,45.0,,36.0,13.0,91.0,54.0,316.0,1022.0,5.0,1.0,,,,21.0,
9.0,65.0,,28.0,13.0,91.0,79.0,324.0,1023.0,59.0,1.0,,,,33.0,
15.0,56.0,,36.0,14.0,86.0,79.0,332.0,1023.0,271.0,2.0,,,,44.0,
6.0,26.0,,60.0,17.0,78.0,34.0,40.0,1023.0,411.0,2.0,,,,34.0,
6.0,20.0,,65.0,18.0,69.0,30.0,46.0,1023.0,497.0,1.0,,,,49.0,
3.0,15.0,,71.0,20.0,62.0,20.0,69.0,1023.0,795.0,1.0,,,,17.0,
5.0,15.0,,74.0,20.0,60.0,24.0,75.0,1023.0,898.0,2.0,,,,29.0,
4.0,15.0,,74.0,20.0,61.0,21.0,89.0,1022.0,921.0,2.0,,,,24.0,
4.0,12.0,,74.0,21.0,55.0,19.0,93.0,1022.0,872.0,2.0,,,,15.0,
5.0,14.0,,73.0,20.0,56.0,21.0,95.0,1021.0,747.0,2.0,,,,20.0,
5.0,15.0,,75.0,20.0,57.0,22.0,91.0,1021.0,252.0,2.0,,,,21.0,
4.0,17.0,,74.0,19.0,60.0,23.0,88.0,1020.0,67.0,2.0,,,,25.0,
5.0,19.0,,72.0,18.0,65.0,25.0,93.0,1020.0,38.0,2.0,,,,25.0,
3.0,23.0,,60.0,17.0,76.0,28.0,94.0,1021.0,9.0,1.0,,,,35.0,
5.0,55.0,,44.0,16.0,83.0,63.0,57.0,1021.0,2.0,1.0,,,,35.0,
4.0,61.0,,32.0,15.0,86.0,67.0,288.0,1021.0,2.0,1.0,,,,26.0,
4.0,56.0,,32.0,15.0,87.0,63.0,308.0,1022.0,2.0,1.0,,,,33.0,
5.0,51.0,,28.0,14.0,90.0,58.0,301.0,1022.0,2.0,1.0,,,,22.0,
4.0,30.0,,31.0,14.0,91.0,36.0,289.0,1022.0,2.0,1.0,,,,16.0,
4.0,38.0,,25.0,13.0,94.0,44.0,309.0,1021.0,2.0,1.0,,,,19.0,
5.0,28.0,,29.0,12.0,96.0,35.0,320.0,1021.0,2.0,1.0,,,,14.0,
4.0,20.0,,31.0,11.0,98.0,26.0,320.0,1021.0,2.0,1.0,,,,20.0,
5.0,20.0,,41.0,12.0,93.0,28.0,292.0,1020.0,1.0,1.0,,,,19.0,
6.0,20.0,,43.0,12.0,87.0,30.0,304.0,1020.0,2.0,1.0,,,,19.0,
6.0,28.0,,46.0,13.0,83.0,37.0,299.0,1020.0,5.0,1.0,,,,20.0,
6.0,26.0,,43.0,13.0,77.0,35.0,295.0,1020.0,49.0,1.0,,,,22.0,
7.0,25.0,,46.0,15.0,68.0,36.0,292.0,1021.0,275.0,1.0,,,,29.0,
8.0,25.0,,59.0,19.0,54.0,38.0,276.0,1021.0,546.0,1.0,,,,19.0,
9.0,24.0,,70.0,21.0,44.0,38.0,140.0,1021.0,729.0,1.0,,,,26.0,
6.0,26.0,,76.0,23.0,37.0,35.0,162.0,1021.0,866.0,1.0,,,,18.0,
5.0,18.0,,82.0,23.0,33.0,25.0,173.0,1020.0,931.0,3.0,,,,15.0,
5.0,19.0,,80.0,23.0,38.0,27.0,175.0,1020.0,935.0,3.0,,,,48.0,
11.0,20.0,,74.0,22.0,45.0,37.0,174.0,1020.0,879.0,3.0,,,,67.0,
6.0,17.0,,79.0,22.0,37.0,26.0,175.0,1019.0,752.0,3.0,,,,27.0,
8.0,17.0,,78.0,22.0,40.0,29.0,185.0,1018.0,241.0,3.0,,,,60.0,
7.0,22.0,,76.0,22.0,49.0,33.0,175.0,1018.0,72.0,2.0,,,,43.0,
7.0,22.0,,75.0,21.0,45.0,34.0,181.0,1018.0,41.0,2.0,,,,21.0,
11.0,39.0,,66.0,20.0,41.0,57.0,181.0,1018.0,10.0,2.0,,,,40.0,
6.0,33.0,,64.0,18.0,41.0,44.0,184.0,1018.0,1.0,2.0,,,,10.0,
6.0,34.0,,55.0,17.0,44.0,42.0,140.0,1019.0,1.0,1.0,,,,26.0,
4.0,47.0,,36.0,16.0,53.0,53.0,272.0,1019.0,2.0,1.0,,,,31.0,
4.0,48.0,,35.0,15.0,55.0,55.0,281.0,1019.0,2.0,1.0,,,,28.0,
4.0,29.0,,44.0,14.0,57.0,35.0,290.0,1019.0,2.0,1.0,,,,19.0,
5.0,31.0,,35.0,14.0,62.0,38.0,246.0,1019.0,2.0,1.0,,,,22.0,
5.0,35.0,,29.0,13.0,69.0,42.0,274.0,1019.0,2.0,1.0,,,,22.0,
4.0,32.0,,32.0,12.0,69.0,38.0,299.0,1018.0,2.0,1.0,,,,12.0,
8.0,52.0,,22.0,12.0,70.0,64.0,260.0,1018.0,3.0,1.0,,,,20.0,
20.0,93.0,,16.0,12.0,82.0,124.0,304.0,1018.0,3.0,1.0,,,,42.0,
10.0,60.0,,32.0,13.0,88.0,75.0,289.0,1018.0,6.0,1.0,,,,41.0,
15.0,83.0,,20.0,13.0,91.0,106.0,303.0,1018.0,58.0,1.0,,,,61.0,
6.0,42.0,,39.0,16.0,84.0,51.0,177.0,1018.0,257.0,1.0,,,,41.0,
5.0,28.0,,53.0,19.0,74.0,36.0,107.0,1019.0,505.0,1.0,,,,45.0,
8.0,37.0,,59.0,21.0,68.0,49.0,130.0,1019.0,684.0,1.0,,,,38.0,
6.0,22.0,,68.0,22.0,62.0,32.0,165.0,1019.0,829.0,2.0,,,,32.0,
7.0,23.0,,65.0,22.0,62.0,34.0,171.0,1018.0,897.0,3.0,,,,38.0,
6.0,24.0,,67.0,22.0,55.0,33.0,172.0,1018.0,911.0,3.0,,,,21.0,
7.0,19.0,,73.0,23.0,52.0,30.0,172.0,1017.0,867.0,3.0,,,,43.0,
6.0,16.0,,77.0,23.0,46.0,25.0,172.0,1017.0,746.0,3.0,,,,13.0,
6.0,15.0,,78.0,23.0,43.0,24.0,172.0,1016.0,258.0,3.0,,,,22.0,
6.0,21.0,,74.0,22.0,50.0,31.0,169.0,1016.0,75.0,2.0,,,,35.0,
8.0,25.0,,73.0,21.0,47.0,38.0,172.0,1016.0,41.0,2.0,,,,9.0,
9.0,32.0,,68.0,20.0,43.0,45.0,179.0,1016.0,11.0,2.0,,,,16.0,
12.0,46.0,,54.0,19.0,43.0,64.0,182.0,1017.0,1.0,1.0,,,,14.0,
6.0,53.0,,38.0,18.0,49.0,62.0,139.0,1017.0,1.0,1.0,,,,50.0,
3.0,42.0,,38.0,16.0,63.0,47.0,292.0,1017.0,2.0,1.0,,,,25.0,
7.0,68.0,,22.0,16.0,66.0,79.0,299.0,1017.0,2.0,1.0,,,,32.0,
5.0,69.0,,19.0,15.0,62.0,77.0,291.0,1017.0,2.0,1.0,,,,19.0,
5.0,43.0,,22.0,15.0,61.0,50.0,244.0,1017.0,2.0,1.0,,,,31.0,
4.0,38.0,,27.0,14.0,69.0,44.0,316.0,1016.0,2.0,1.0,,,,35.0,
5.0,24.0,,32.0,14.0,79.0,31.0,313.0,1016.0,2.0,1.0,,,,22.0,
4.0,5.0,,34.0,13.0,86.0,11.0,294.0,1016.0,2.0,1.0,,,,36.0,
5.0,39.0,,28.0,13.0,92.0,46.0,311.0,1015.0,2.0,1.0,,,,23.0,
,,,11.0,12.0,95.0,,315.0,1015.0,6.0,1.0,,,,23.0,
,,,12.0,13.0,96.0,,222.0,1016.0,57.0,1.0,,,,58.0,
,,,31.0,17.0,85.0,,345.0,1016.0,272.0,1.0,,,,41.0,
,,,57.0,20.0,66.0,,174.0,1016.0,523.0,1.0,,,,34.0,
,,,60.0,23.0,58.0,,170.0,1016.0,709.0,1.0,,,,36.0,
,,,60.0,26.0,52.0,,147.0,1016.0,841.0,1.0,,,,48.0,
,,,64.0,28.0,47.0,,154.0,1015.0,899.0,1.0,,,,37.0,
,,,68.0,28.0,41.0,,166.0,1015.0,908.0,2.0,,,,18.0,
,,,71.0,28.0,41.0,,170.0,1015.0,850.0,3.0,,,,38.0,
,,,91.0,30.0,22.0,,184.0,1015.0,640.0,4.0,,,,14.0,
,,,95.0,29.0,23.0,,200.0,1015.0,251.0,3.0,,,,38.0,
,,,97.0,29.0,20.0,,192.0,1015.0,95.0,3.0,,,,15.0,
,,,101.0,28.0,19.0,,213.0,1015.0,48.0,2.0,,,,31.0,
,,,100.0,27.0,21.0,,215.0,1015.0,12.0,2.0,,,,20.0,
,,,93.0,26.0,23.0,,201.0,1015.0,1.0,2.0,,,,28.0,
,,,63.0,23.0,32.0,,108.0,1016.0,1.0,1.0,,,,34.0,
,,,43.0,21.0,44.0,,315.0,1016.0,1.0,1.0,,,,64.0,
,,,30.0,19.0,63.0,,194.0,1017.0,2.0,1.0,,,,41.0,
,,,34.0,19.0,63.0,,228.0,1017.0,2.0,1.0,,,,47.0,
,,,50.0,21.0,45.0,,246.0,1016.0,1.0,1.0,,,,29.0,
,,,56.0,21.0,43.0,,260.0,1016.0,2.0,1.0,,,,13.0,
,,,53.0,20.0,43.0,,255.0,1015.0,2.0,1.0,,,,18.0,
,,,52.0,21.0,42.0,,333.0,1015.0,1.0,1.0,,,,40.0,
,,,39.0,18.0,57.0,,195.0,1015.0,2.0,1.0,,,,40.0,
,,,34.0,17.0,59.0,,237.0,1016.0,7.0,1.0,,,,36.0,
,,,21.0,18.0,57.0,,231.0,1016.0,77.0,1.0,,,,41.0,
,,,52.0,23.0,38.0,,253.0,1017.0,202.0,1.0,,,,44.0,
,,,68.0,26.0,29.0,,305.0,1017.0,495.0,1.0,,,,43.0,
,,,69.0,29.0,26.0,,314.0,1017.0,554.0,1.0,,,,41.0,
,,,77.0,30.0,24.0,,136.0,1018.0,656.0,1.0,,,,52.0,
,,,81.0,31.0,21.0,,150.0,1018.0,779.0,1.0,,,,49.0,
,,,81.0,31.0,19.0,,151.0,1018.0,843.0,2.0,,,,43.0,
,,,78.0,30.0,24.0,,132.0,1018.0,692.0,1.0,,,,40.0,
,,,82.0,30.0,26.0,,144.0,1017.0,478.0,1.0,,,,51.0,
,,,77.0,28.0,35.0,,153.0,1017.0,277.0,1.0,,,,59.0,
,,,74.0,26.0,43.0,,152.0,1017.0,172.0,1.0,,,,42.0,
,,,73.0,26.0,41.0,,131.0,1017.0,86.0,1.0,,,,51.0,
,,,62.0,24.0,52.0,,144.0,1017.0,21.0,1.0,,,,65.0,
,,,45.0,22.0,65.0,,120.0,1018.0,1.0,1.0,,,,65.0,
,,,46.0,20.0,79.0,,168.0,1018.0,1.0,1.0,,,,70.0,
,,,42.0,19.0,91.0,,148.0,1018.0,1.0,1.0,,,,49.0,
,,,28.0,17.0,95.0,,208.0,1018.0,1.0,1.0,,,,35.0,
,,,14.0,16.0,95.0,,210.0,1018.0,1.0,1.0,,,,31.0,
,,,12.0,16.0,91.0,,271.0,1018.0,2.0,1.0,,,,31.0,
,,,22.0,16.0,87.0,,216.0,1018.0,2.0,1.0,,,,45.0,
,,,18.0,15.0,87.0,,280.0,1017.0,2.0,1.0,,,,39.0,
,,,17.0,15.0,89.0,,296.0,1017.0,3.0,1.0,,,,36.0,
,,,11.0,15.0,85.0,,173.0,1017.0,3.0,1.0,,,,33.0,
,,,9.0,15.0,84.0,,172.0,1017.0,8.0,1.0,,,,51.0,
,,,5.0,16.0,78.0,,156.0,1018.0,63.0,1.0,,,,95.0,
,,,16.0,21.0,58.0,,145.0,1019.0,281.0,1.0,,,,98.0,
,,,38.0,25.0,45.0,,137.0,1019.0,505.0,1.0,,,,67.0,
,,,47.0,26.0,42.0,,99.0,1019.0,695.0,1.0,,,,76.0,
,,,59.0,26.0,49.0,,97.0,1019.0,780.0,1.0,,,,73.0,
,,,68.0,26.0,48.0,,97.0,1019.0,866.0,2.0,,,,54.0,
,,,72.0,26.0,48.0,,88.0,1019.0,772.0,2.0,,,,53.0,
,,,74.0,25.0,55.0,,85.0,1019.0,702.0,2.0,,,,67.0,
,,,67.0,25.0,58.0,,113.0,1018.0,553.0,1.0,,,,52.0,
,,,65.0,24.0,59.0,,139.0,1018.0,265.0,1.0,,,,43.0,
,,,58.0,24.0,59.0,,142.0,1018.0,134.0,1.0,,,,31.0,
,,,62.0,23.0,58.0,,99.0,1018.0,64.0,1.0,,,,33.0,
,,,61.0,21.0,78.0,,64.0,1018.0,15.0,1.0,,,,78.0,
,,,56.0,19.0,91.0,,50.0,1019.0,1.0,1.0,,,,50.0,
,,,45.0,18.0,95.0,,35.0,1020.0,2.0,1.0,,,,38.0,
,,,43.0,18.0,96.0,,15.0,1020.0,2.0,1.0,,,,41.0,
,,,36.0,17.0,96.0,,302.0,1021.0,1.0,1.0,,,,38.0,
,,,41.0,17.0,95.0,,284.0,1021.0,2.0,1.0,,,,29.0,
,,,36.0,17.0,93.0,,320.0,1022.0,4.0,1.0,,,,42.0,
,,,53.0,17.0,95.0,,332.0,1021.0,2.0,1.0,,,,33.0,
,,,52.0,17.0,97.0,,332.0,1021.0,3.0,1.0,,,,32.0,
,,,58.0,17.0,97.0,,142.0,1022.0,3.0,1.0,,,,25.0,
,,,54.0,18.0,96.0,,353.0,1022.0,3.0,1.0,,,,24.0,
,,,51.0,17.0,95.0,,269.0,1022.0,6.0,1.0,,,,28.0,
,,,55.0,18.0,94.0,,245.0,1023.0,45.0,1.0,,,,33.0,
,,,60.0,18.0,91.0,,40.0,1023.0,62.0,1.0,,,,29.0,
,,,62.0,19.0,88.0,,78.0,1024.0,208.0,1.0,,,,26.0,
,,,68.0,20.0,76.0,,81.0,1024.0,347.0,1.0,,,,22.0,
,,,68.0,21.0,74.0,,80.0,1024.0,448.0,1.0,,,,26.0,
,,,71.0,22.0,68.0,,93.0,1023.0,830.0,2.0,,,,23.0,
,,,72.0,22.0,68.0,,86.0,1023.0,739.0,2.0,,,,27.0,
,,,70.0,22.0,64.0,,89.0,1022.0,666.0,2.0,,,,16.0,
,,,70.0,22.0,62.0,,88.0,1022.0,662.0,2.0,,,,24.0,
,,,69.0,22.0,64.0,,88.0,1021.0,266.0,1.0,,,,19.0,
,,,66.0,21.0,68.0,,89.0,1021.0,127.0,2.0,,,,19.0,
,,,64.0,20.0,72.0,,88.0,1020.0,63.0,1.0,,,,29.0,
,,,62.0,19.0,79.0,,83.0,1020.0,23.0,1.0,,,,40.0,
,,,56.0,18.0,88.0,,75.0,1020.0,2.0,1.0,,,,28.0,
,,,44.0,17.0,92.0,,48.0,1021.0,2.0,1.0,,,,24.0,
,,,37.0,17.0,92.0,,318.0,1021.0,2.0,1.0,,,,26.0,
,,,30.0,17.0,93.0,,327.0,1021.0,2.0,1.0,,,,25.0,
,,,26.0,16.0,94.0,,307.0,1020.0,2.0,1.0,,,,23.0,
,,,28.0,16.0,96.0,,319.0,1020.0,2.0,1.0,,,,19.0,
,,,33.0,15.0,98.0,,296.0,1019.0,2.0,1.0,,,,28.0,
,,,20.0,15.0,98.0,,314.0,1019.0,2.0,1.0,,,,17.0,
,,,17.0,14.0,99.0,,314.0,1018.0,2.0,1.0,,,,23.0,
,,,16.0,14.0,100.0,,314.0,1018.0,2.0,1.0,,,,26.0,
,,,5.0,14.0,100.0,,256.0,1018.0,8.0,1.0,,,,35.0,
,,,14.0,15.0,100.0,,311.0,1019.0,70.0,1.0,,,,59.0,
,,,50.0,18.0,92.0,,296.0,1019.0,291.0,1.0,,,,35.0,
,,,58.0,20.0,74.0,,245.0,1019.0,531.0,1.0,,,,30.0,
,,,59.0,22.0,64.0,,107.0,1019.0,709.0,1.0,,,,34.0,
,,,64.0,23.0,63.0,,90.0,1019.0,844.0,1.0,,,,46.0,
,,,69.0,23.0,60.0,,98.0,1018.0,906.0,1.0,,,,29.0,
,,,70.0,24.0,58.0,,91.0,1018.0,912.0,1.0,,,,32.0,
,,,75.0,24.0,53.0,,94.0,1017.0,857.0,2.0,,,,16.0,
,,,83.0,24.0,44.0,,93.0,1017.0,732.0,2.0,,,,17.0,
,,,79.0,24.0,44.0,,94.0,1016.0,229.0,2.0,,,,23.0,
,,,72.0,23.0,52.0,,86.0,1016.0,83.0,1.0,,,,57.0,
,,,63.0,22.0,67.0,,88.0,1016.0,47.0,1.0,,,,49.0,
,,,56.0,20.0,76.0,,95.0,1016.0,15.0,1.0,,,,55.0,
,,,51.0,19.0,83.0,,73.0,1017.0,1.0,1.0,,,,52.0,
,,,42.0,18.0,87.0,,101.0,1017.0,1.0,1.0,,,,30.0,
,,,31.0,18.0,88.0,,322.0,1018.0,2.0,1.0,,,,33.0,
,,,37.0,17.0,89.0,,320.0,1017.0,2.0,1.0,,,,28.0,
,,,24.0,17.0,90.0,,300.0,1017.0,2.0,1.0,,,,24.0,
,,,23.0,16.0,92.0,,297.0,1017.0,2.0,1.0,,,,27.0,
,,,34.0,16.0,92.0,,294.0,1016.0,2.0,1.0,,,,20.0,
,,,21.0,15.0,94.0,,240.0,1016.0,2.0,1.0,,,,21.0,
,,,15.0,14.0,96.0,,262.0,1015.0,2.0,1.0,,,,19.0,
,,,24.0,14.0,99.0,,309.0,1015.0,2.0,1.0,,,,33.0,
,,,32.0,15.0,95.0,,292.0,1015.0,8.0,1.0,,,,28.0,
,,,43.0,16.0,86.0,,295.0,1016.0,73.0,1.0,,,,37.0,
,,,51.0,19.0,69.0,,291.0,1014.0,321.0,1.0,,,,28.0,
,,,65.0,23.0,52.0,,114.0,1015.0,544.0,1.0,,,,23.0,
,,,70.0,24.0,46.0,,107.0,1016.0,721.0,1.0,,,,35.0,
,,,74.0,24.0,47.0,,98.0,1016.0,853.0,1.0,,,,50.0,
,,,74.0,24.0,51.0,,85.0,1015.0,903.0,1.0,,,,31.0,
,,,78.0,24.0,46.0,,87.0,1015.0,907.0,1.0,,,,15.0,
,,,77.0,24.0,41.0,,91.0,1015.0,860.0,2.0,,,,22.0,
,,,74.0,24.0,45.0,,89.0,1014.0,735.0,2.0,,,,33.0,
,,,71.0,23.0,48.0,,85.0,1014.0,250.0,2.0,,,,41.0,
,,,71.0,22.0,51.0,,87.0,1014.0,118.0,2.0,,,,24.0,
,,,68.0,21.0,57.0,,80.0,1014.0,58.0,1.0,,,,51.0,
,,,57.0,20.0,75.0,,73.0,1014.0,17.0,1.0,,,,58.0,
,,,52.0,19.0,87.0,,51.0,1015.0,1.0,1.0,,,,32.0,
,,,47.0,18.0,92.0,,59.0,1015.0,2.0,1.0,,,,18.0,
,,,41.0,17.0,93.0,,307.0,1015.0,1.0,1.0,,,,19.0,
,,,33.0,17.0,93.0,,313.0,1015.0,2.0,1.0,,,,14.0,
,,,38.0,17.0,94.0,,337.0,1016.0,2.0,1.0,,,,21.0,
,,,37.0,16.0,96.0,,337.0,1016.0,2.0,1.0,,,,13.0,
,,,37.0,16.0,96.0,,341.0,1015.0,2.0,1.0,,,,15.0,
,,,44.0,16.0,99.0,,177.0,1016.0,2.0,1.0,,,,22.0,
,,,47.0,16.0,97.0,,128.0,1016.0,2.0,1.0,,,,17.0,
,,,56.0,17.0,94.0,,34.0,1016.0,3.0,1.0,,,,24.0,
,,,55.0,17.0,90.0,,35.0,1017.0,11.0,1.0,,,,21.0,
,,,56.0,17.0,84.0,,36.0,1017.0,69.0,1.0,,,,31.0,
,,,56.0,18.0,77.0,,54.0,1017.0,161.0,1.0,,,,43.0,
,,,64.0,19.0,71.0,,62.0,1014.0,243.0,2.0,,,,51.0,
,,,69.0,19.0,67.0,,66.0,1019.0,366.0,2.0,,,,67.0,
,,,69.0,19.0,65.0,,69.0,1019.0,437.0,2.0,,,,50.0,
,,,72.0,19.0,60.0,,67.0,1019.0,631.0,2.0,,,,47.0,
,,,75.0,19.0,59.0,,73.0,1019.0,545.0,2.0,,,,49.0,
,,,74.0,19.0,60.0,,68.0,1019.0,633.0,2.0,,,,52.0,
,,,76.0,19.0,61.0,,74.0,1019.0,329.0,2.0,,,,46.0,
,,,75.0,18.0,64.0,,72.0,1018.0,252.0,2.0,,,,45.0,
,,,75.0,17.0,63.0,,67.0,1019.0,151.0,2.0,,,,36.0,
,,,75.0,17.0,66.0,,71.0,1019.0,89.0,2.0,,,,33.0,
,,,76.0,17.0,64.0,,68.0,1019.0,17.0,2.0,,,,27.0,
,,,75.0,17.0,67.0,,73.0,1020.0,3.0,2.0,,,,36.0,
,,,76.0,16.0,68.0,,73.0,1021.0,3.0,2.0,,,,29.0,
,,,74.0,16.0,68.0,,70.0,1021.0,3.0,1.0,,,,27.0,
,,,74.0,16.0,69.0,,67.0,1021.0,3.0,1.0,,,,25.0,
,,,77.0,16.0,67.0,,70.0,1021.0,3.0,2.0,,,,21.0,
,,,75.0,15.0,67.0,,54.0,1021.0,2.0,1.0,,,,19.0,
,,,71.0,15.0,66.0,,32.0,1021.0,2.0,1.0,,,,16.0,
,,,71.0,15.0,67.0,,42.0,1021.0,2.0,1.0,,,,17.0,
,,,62.0,14.0,71.0,,92.0,1020.0,2.0,1.0,,,,20.0,
,,,67.0,14.0,64.0,,84.0,1020.0,3.0,1.0,,,,10.0,
,,,72.0,15.0,56.0,,48.0,1021.0,10.0,1.0,,,,26.0,
,,,70.0,15.0,56.0,,57.0,1021.0,81.0,1.0,,,,45.0,
,,,70.0,16.0,56.0,,55.0,1022.0,209.0,1.0,,,,41.0,
,,,80.0,17.0,50.0,,61.0,1022.0,358.0,2.0,,,,108.0,
,,,79.0,17.0,52.0,,61.0,1022.0,458.0,2.0,,,,100.0,
,,,79.0,17.0,56.0,,67.0,1022.0,388.0,2.0,,,,75.0,
,,,80.0,18.0,53.0,,70.0,1023.0,527.0,3.0,,,,75.0,
,,,79.0,18.0,53.0,,70.0,1022.0,531.0,3.0,,,,95.0,
,,,80.0,17.0,55.0,,70.0,1023.0,430.0,3.0,,,,70.0,
,,,81.0,18.0,53.0,,75.0,1022.0,477.0,3.0,,,,66.0,
,,,79.0,17.0,57.0,,72.0,1022.0,246.0,3.0,,,,60.0,
,,,79.0,17.0,58.0,,70.0,1023.0,151.0,2.0,,,,40.0,
,,,80.0,16.0,59.0,,66.0,1022.0,76.0,2.0,,,,35.0,
,,,78.0,15.0,64.0,,58.0,1022.0,15.0,1.0,,,,30.0,
,,,78.0,15.0,65.0,,54.0,1023.0,2.0,1.0,,,,25.0,
,,,76.0,15.0,66.0,,52.0,1024.0,2.0,1.0,,,,19.0,
,,,76.0,14.0,64.0,,50.0,1025.0,2.0,1.0,,,,15.0,
,,,77.0,14.0,59.0,,89.0,1025.0,3.0,1.0,,,,11.0,
,,,71.0,14.0,65.0,,80.0,1024.0,3.0,1.0,,,,29.0,
,,,70.0,13.0,64.0,,241.0,1024.0,3.0,2.0,,,,6.0,
,,,70.0,13.0,62.0,,204.0,1023.0,2.0,1.0,,,,14.0,
,,,72.0,13.0,64.0,,262.0,1023.0,3.0,2.0,,,,15.0,
,,,69.0,12.0,68.0,,304.0,1023.0,3.0,1.0,,,,18.0,
,,,65.0,12.0,70.0,,348.0,1023.0,3.0,1.0,,,,16.0,
,,,56.0,12.0,71.0,,331.0,1023.0,10.0,1.0,,,,24.0,
,,,63.0,13.0,67.0,,38.0,1024.0,69.0,1.0,,,,30.0,
