NO (µg/m³N),NO2 (µg/m³N),SO2 (µg/m³N),O3 (µg/m³N),TMP (ºC),HR (% H.R.),NOX (µg/m³N),DD (grados),PRB (mb),RS (W/m³),VV (m/s),C6H6 (µg/m³N),C7H8 (µg/m³N),XIL (µg/m³N),PM10 (µg/m³N),Ruido (dBA)
28.0,75.0,10.0,19.0,8.0,91.0,117.0,280.0,1023.0,15.0,1.0,,,,46.0,
23.0,62.0,11.0,20.0,9.0,92.0,97.0,297.0,1024.0,80.0,1.0,,,,44.0,
34.0,51.0,20.0,27.0,10.0,86.0,103.0,306.0,1024.0,143.0,1.0,,,,53.0,
19.0,45.0,19.0,37.0,13.0,77.0,74.0,318.0,1025.0,294.0,1.0,,,,50.0,
17.0,51.0,14.0,35.0,15.0,76.0,77.0,294.0,1025.0,304.0,1.0,,,,50.0,
14.0,39.0,13.0,54.0,18.0,53.0,60.0,302.0,1024.0,413.0,1.0,,,,16.0,
8.0,35.0,13.0,64.0,19.0,38.0,48.0,325.0,1023.0,340.0,1.0,,,,20.0,
6.0,35.0,9.0,68.0,20.0,36.0,44.0,300.0,1023.0,304.0,1.0,,,,18.0,
11.0,42.0,12.0,63.0,19.0,46.0,58.0,198.0,1024.0,163.0,1.0,,,,40.0,
9.0,50.0,10.0,47.0,17.0,64.0,64.0,194.0,1024.0,29.0,1.0,,,,40.0,
14.0,66.0,9.0,29.0,15.0,75.0,88.0,204.0,1024.0,2.0,1.0,,,,36.0,
57.0,120.0,8.0,6.0,14.0,74.0,207.0,257.0,1024.0,3.0,1.0,,,,78.0,
25.0,95.0,7.0,12.0,13.0,73.0,134.0,273.0,1025.0,3.0,1.0,,,,56.0,
11.0,49.0,7.0,37.0,13.0,72.0,66.0,253.0,1025.0,2.0,1.0,,,,35.0,
5.0,35.0,5.0,42.0,13.0,70.0,43.0,301.0,1025.0,2.0,1.0,,,,27.0,
5.0,37.0,7.0,37.0,12.0,68.0,45.0,221.0,1025.0,3.0,1.0,,,,29.0,
4.0,36.0,8.0,31.0,11.0,73.0,42.0,191.0,1025.0,3.0,1.0,,,,24.0,
5.0,32.0,7.0,31.0,11.0,72.0,40.0,313.0,1025.0,3.0,1.0,,,,28.0,
4.0,26.0,8.0,26.0,10.0,79.0,32.0,314.0,1025.0,3.0,1.0,,,,31.0,
3.0,28.0,10.0,28.0,10.0,78.0,33.0,300.0,1025.0,3.0,1.0,,,,32.0,
4.0,24.0,12.0,29.0,11.0,79.0,30.0,253.0,1024.0,4.0,1.0,,,,29.0,
6.0,32.0,12.0,29.0,11.0,76.0,41.0,312.0,1024.0,3.0,1.0,,,,32.0,
8.0,54.0,10.0,16.0,10.0,85.0,67.0,308.0,1024.0,4.0,1.0,,,,36.0,
11.0,66.0,9.0,19.0,10.0,83.0,83.0,195.0,1024.0,3.0,1.0,,,,43.0,
127.0,107.0,11.0,3.0,10.0,87.0,302.0,261.0,1025.0,10.0,1.0,,,,88.0,
99.0,117.0,11.0,6.0,11.0,88.0,269.0,221.0,1025.0,64.0,1.0,,,,96.0,
64.0,92.0,12.0,15.0,14.0,78.0,190.0,170.0,1025.0,94.0,1.0,,,,89.0,
21.0,53.0,12.0,36.0,17.0,68.0,85.0,130.0,1025.0,306.0,1.0,,,,62.0,
11.0,37.0,11.0,51.0,19.0,59.0,55.0,136.0,1025.0,473.0,1.0,,,,43.0,
7.0,27.0,10.0,63.0,20.0,54.0,38.0,334.0,1024.0,493.0,1.0,,,,24.0,
7.0,23.0,8.0,65.0,21.0,52.0,33.0,325.0,1023.0,452.0,2.0,,,,28.0,
9.0,24.0,8.0,67.0,21.0,49.0,38.0,272.0,1022.0,345.0,1.0,,,,27.0,
6.0,27.0,8.0,61.0,21.0,57.0,35.0,144.0,1022.0,172.0,1.0,,,,37.0,
8.0,41.0,9.0,51.0,19.0,62.0,54.0,190.0,1023.0,20.0,1.0,,,,40.0,
11.0,68.0,10.0,38.0,16.0,68.0,86.0,234.0,1023.0,2.0,1.0,,,,49.0,
11.0,77.0,12.0,35.0,16.0,66.0,94.0,304.0,1023.0,2.0,1.0,,,,36.0,
8.0,59.0,13.0,44.0,17.0,58.0,71.0,315.0,1023.0,1.0,1.0,,,,25.0,
5.0,48.0,13.0,51.0,16.0,58.0,56.0,300.0,1023.0,2.0,1.0,,,,15.0,
6.0,43.0,11.0,49.0,16.0,63.0,52.0,294.0,1023.0,2.0,1.0,,,,17.0,
3.0,17.0,8.0,60.0,15.0,62.0,21.0,304.0,1023.0,2.0,1.0,,,,6.0,
5.0,17.0,12.0,59.0,15.0,64.0,25.0,294.0,1023.0,2.0,1.0,,,,6.0,
3.0,17.0,11.0,64.0,16.0,61.0,22.0,310.0,1023.0,2.0,1.0,,,,12.0,
4.0,15.0,9.0,63.0,15.0,62.0,21.0,313.0,1022.0,2.0,1.0,,,,7.0,
5.0,15.0,10.0,61.0,15.0,62.0,23.0,314.0,1022.0,1.0,1.0,,,,9.0,
4.0,16.0,9.0,60.0,15.0,61.0,23.0,317.0,1022.0,1.0,1.0,,,,6.0,
5.0,20.0,12.0,61.0,15.0,59.0,27.0,320.0,1022.0,1.0,1.0,,,,13.0,
4.0,25.0,10.0,53.0,14.0,66.0,31.0,302.0,1021.0,1.0,1.0,,,,11.0,
4.0,35.0,13.0,51.0,14.0,64.0,42.0,304.0,1021.0,2.0,1.0,,,,13.0,
16.0,59.0,12.0,41.0,13.0,65.0,84.0,305.0,1022.0,9.0,1.0,,,,24.0,
10.0,49.0,11.0,42.0,14.0,64.0,64.0,309.0,1022.0,46.0,1.0,,,,25.0,
15.0,48.0,13.0,44.0,15.0,61.0,71.0,265.0,1023.0,92.0,1.0,,,,28.0,
8.0,26.0,11.0,56.0,17.0,56.0,38.0,347.0,1023.0,299.0,2.0,,,,17.0,
7.0,21.0,13.0,61.0,17.0,52.0,32.0,343.0,1022.0,506.0,2.0,,,,19.0,
6.0,22.0,14.0,65.0,18.0,48.0,31.0,318.0,1022.0,525.0,2.0,,,,22.0,
6.0,24.0,14.0,66.0,19.0,45.0,33.0,76.0,1022.0,470.0,1.0,,,,18.0,
